,start,end,country,type,subtype,killed,total_affected,est_damage,disaster_n,location
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540, Borbon
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540, Sogod 
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540,Cebu province
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540, Concepcion 
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540, Iloilo
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540, Surigao Norte
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540, Pililia Rozal
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540, Carles
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540, Batad   Southern Tagalog 
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540,IV
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540, Bicol 
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540,V
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540, Western Visayas 
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540,VI
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540, Central Visayas 
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540,VII
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540, Eastern Visayas 
